,venueID,venue_name,category_name,categoryID,address,postcode,latitude,longitude,price_tier
28,4c2bdd9ad1a10f471aabf864,Mandarin Buffet,Chinese Restaurant,4bf58dd8d48988d145941735,1027 Finch Ave. W (btwn Champagne & Dufferin)Toronto ON M3J 3L4Canada,M3J 3L4,43.767300457143605,-79.46959723111308,2.0
29,5529a011498eddb919b0f2f5,Kori Sushi,Japanese Restaurant,4bf58dd8d48988d111941735,3307 Bayview AvenueM2K 1G4Canada,M2K 1G4,43.79161297568961,-79.39226749018948,2.0
30,4bd396d041b9ef3b799c00e6,Sun Star Chinese Cuisine 翠景小炒,Chinese Restaurant,4bf58dd8d48988d145941735,636 Finch Avenue East (btwn Leslie St and Bayview Av)Toronto ON M2K 2E6Canada,M2K 2E6,43.78791448422642,-79.38123404311649,1.0
31,4ae66ccbf964a520eba621e3,Congee Wong 天皇名粥,Chinese Restaurant,4bf58dd8d48988d145941735,10 Ravel Rd. (at Finch Ave. E.)Toronto ON M2H 1S8Canada,M2H 1S8,43.79057932101322,-79.3658146139743,1.0
32,5cc3685135f9830039006a61,Manchu Wok,Chinese Restaurant,4bf58dd8d48988d145941735,"1750 Finch Avenue East, Seneca CollegeToronto ON M2J 2X5Canada",M2J 2X5,43.795746,-79.349987,1.0
33,4df28ea0e4cda09e6da0129a,Mr Congee Chinese Cuisine 龍粥記,Chinese Restaurant,4bf58dd8d48988d145941735,2900 Warden Ave (at Finch Ave. E)Toronto ON M1W 2S8Canada,M1W 2S8,43.798878792587615,-79.3183345011537,1.0
34,5aa5a8c85f68b930df32dc53,Fishman Lobster Clubhouse Restaurant 魚樂軒,Chinese Restaurant,4bf58dd8d48988d145941735,4020 Finch Avenue EastToronto ON M1WCanada,M1W,43.801908538084135,-79.29540931957925,1.0
35,5143eeece4b0315274d027bb,Aberdeen Delicatessen 香港仔美食,Dessert Shop,4bf58dd8d48988d1d0941735,3250 Midland Ave. (Unit G108)Scarborough ON M1V 4A1Canada,M1V 4A1,43.80493844423408,-79.28845578179929,1.0
36,4dacc7855da32d679da9ee55,Congee Town 太皇名粥,Chinese Restaurant,4bf58dd8d48988d145941735,1571 Sandhurst Cir. (at Woodside Square)Scarborough ON M1V 1V2Canada,M1V 1V2,43.80903482487377,-79.26763433869755,1.0
37,4d7b721d86cfa143a852b4a0,Royal Chinese Seafood Restaurant,Asian Restaurant,4bf58dd8d48988d142941735,"735 middlefield road,  unit 4-5 (middlefield and mcniccol)Toronto ON M1V 5H5Canada",M1V 5H5,43.82008744268092,-79.26152503205259,2.0
38,4db8a2096e818f67a9add9ab,Lucky Lin's Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,5633 Finch Ave E (Finch Ave & Tapscott Rd)Toronto ON M1B 5K9Canada,M1B 5K9,43.813612899653876,-79.23794309546079,1.0
39,4e405ae962e19d610993c29f,Lilings Kitchen,Asian Restaurant,4bf58dd8d48988d142941735,OntarioCanada,,43.818723,-79.204218,2.0
40,50771906e4b0b3ae376312c9,Golden Joy,Asian Restaurant,4bf58dd8d48988d142941735,Canada,,43.73500660231336,-79.55961685263955,2.0
41,51e894d2498eba2af92a64a0,Famous asian fast food finch,Asian Restaurant,4bf58dd8d48988d142941735,Canada,,43.74830188447153,-79.54169747496941,2.0
