,Unnamed: 0,id,name,location,categories,referralId,hasPerk,venuePage
10,13,4dd3d24345dd98b61e74f6af,SenseAsian Pan-Asian Resto,"{'address': '40 King St W', 'lat': 43.64961044882256, 'lng': -79.37891234907097, 'labeledLatLngs': [{'label': 'display', 'lat': 43.64961044882256, 'lng': -79.37891234907097}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['40 King St W', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
11,14,59a0abc33d47914ccfcbf0be,Le Viet Asian Cuisine 品越,"{'address': '1210 Castlemore Ave', 'crossStreet': 'Markham Rd', 'lat': 43.90442839831646, 'lng': -79.26902712177349, 'labeledLatLngs': [{'label': 'display', 'lat': 43.90442839831646, 'lng': -79.26902712177349}], 'postalCode': 'L6E 0H7', 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1210 Castlemore Ave (Markham Rd)', 'Markham ON L6E 0H7', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
12,15,4c17b44b4ff90f47924c0d49,Asian Farm,"{'lat': 43.782808, 'lng': -79.292653, 'labeledLatLngs': [{'label': 'display', 'lat': 43.782808, 'lng': -79.292653}], 'cc': 'CA', 'city': 'Toronto Division', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto Division ON', 'Canada']}",[],v-1603875900,False,
13,17,4bb0feb7f964a52021713ce3,Fusia Asian Kitchen,"{'crossStreet': 'Bay and Dundas', 'lat': 43.65617042572259, 'lng': -79.38354857280271, 'labeledLatLngs': [{'label': 'display', 'lat': 43.65617042572259, 'lng': -79.38354857280271}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d120951735', 'name': 'Food Court', 'pluralName': 'Food Courts', 'shortName': 'Food Court', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_foodcourt_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
14,18,5d5ecd3efde1cd0008a9d311,Wong’s Asian Cuisine,"{'address': '2173 Lawrence Ave E', 'lat': 43.747142, 'lng': -79.283748, 'labeledLatLngs': [{'label': 'display', 'lat': 43.747142, 'lng': -79.283748}], 'postalCode': 'M1P', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['2173 Lawrence Ave E', 'Scarborough ON M1P', 'Canada']}","[{'id': '52af3ac83cf9994f4e043bf3', 'name': 'Hakka Restaurant', 'pluralName': 'Hakka Restaurants', 'shortName': 'Hakka', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
15,19,4ae38881f964a520539621e3,Asian Kitchen,"{'address': '3160 steeles avenue', 'lat': 43.815333429268414, 'lng': -79.29885119416369, 'labeledLatLngs': [{'label': 'display', 'lat': 43.815333429268414, 'lng': -79.29885119416369}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['3160 steeles avenue', 'Toronto ON', 'Canada']}",[],v-1603875900,False,
16,20,4f79f9c8e4b0f60afaff9f5d,Asian Specialty,"{'address': '2301 Brimley Rd.', 'crossStreet': 'at Huntingwood Dr.', 'lat': 43.797819, 'lng': -79.270737, 'labeledLatLngs': [{'label': 'display', 'lat': 43.797819, 'lng': -79.270737}], 'postalCode': 'M1S 5B8', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['2301 Brimley Rd. (at Huntingwood Dr.)', 'Toronto ON M1S 5B8', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
17,21,4c6164f4de6920a14b2c9864,Asian Acupuncture Clinic,"{'lat': 43.70601767888677, 'lng': -79.4018716631391, 'labeledLatLngs': [{'label': 'display', 'lat': 43.70601767888677, 'lng': -79.4018716631391}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto ON', 'Canada']}",[],v-1603875900,False,
18,26,4ee62b027beb7e7dadcce36d,Asian Monsoon,"{'address': '1466 Kingston Road', 'lat': 43.68852717458528, 'lng': -79.27019834518433, 'labeledLatLngs': [{'label': 'display', 'lat': 43.68852717458528, 'lng': -79.27019834518433}], 'postalCode': 'M1N 1R6', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1466 Kingston Road', 'Scarborough ON M1N 1R6', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
19,27,4b29158af964a5205a9824e3,Tangerine Asian Cuisine,"{'address': '7690 Markham Rd', 'crossStreet': 'btwn Highglen & 14th', 'lat': 43.85303378895197, 'lng': -79.25603563243043, 'labeledLatLngs': [{'label': 'display', 'lat': 43.85303378895197, 'lng': -79.25603563243043}], 'postalCode': 'L3S 3S1', 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['7690 Markham Rd (btwn Highglen & 14th)', 'Markham ON L3S 3S1', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
