,id,name,location,categories,referralId,hasPerk,venuePage
12,4fd4c948e4b013c5812b5ce6,Vietnamese Association Toronto,"{'address': '3585 Keele St Unit 13', 'crossStreet': 'Sheppard Ave', 'lat': 43.743901100857364, 'lng': -79.48404619278443, 'labeledLatLngs': [{'label': 'display', 'lat': 43.743901100857364, 'lng': -79.48404619278443}], 'cc': 'CA', 'city': 'North York', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['3585 Keele St Unit 13 (Sheppard Ave)', 'North York ON', 'Canada']}","[{'id': '4bf58dd8d48988d127941735', 'name': 'Conference Room', 'pluralName': 'Conference Rooms', 'shortName': 'Conference room', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/office_conferenceroom_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
13,4ed9d9f246907c1b41ff496f,Vietnamese cuisine,"{'lat': 43.651772097191106, 'lng': -79.39777613042362, 'labeledLatLngs': [{'label': 'display', 'lat': 43.651772097191106, 'lng': -79.39777613042362}], 'cc': 'CA', 'country': 'Canada', 'formattedAddress': ['Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
14,4eac4877b803cf1ffbe4f400,Vietnamese Associciation,"{'lat': 43.750691932127005, 'lng': -79.48752826361356, 'labeledLatLngs': [{'label': 'display', 'lat': 43.750691932127005, 'lng': -79.48752826361356}], 'cc': 'CA', 'state': 'Ontario', 'country': 'Canada', 'formattedAddress': ['Ontario', 'Canada']}","[{'id': '4bf58dd8d48988d127941735', 'name': 'Conference Room', 'pluralName': 'Conference Rooms', 'shortName': 'Conference room', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/office_conferenceroom_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
16,4f8cade2e4b0af04c3927940,Saigon King Vietnamese Restaurant 旺盛越泰美食,"{'address': '2950 Birchmount Rd, Scarborough, ON M1W 2S4', 'crossStreet': 'Birchmount & Finch', 'lat': 43.79924895947826, 'lng': -79.30656909942627, 'labeledLatLngs': [{'label': 'display', 'lat': 43.79924895947826, 'lng': -79.30656909942627}], 'postalCode': 'M1W 2S4', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['2950 Birchmount Rd, Scarborough, ON M1W 2S4 (Birchmount & Finch)', 'Scarborough ON M1W 2S4', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
17,529e6d53498efaf2a89d4457,Vietnamese Noodle House,"{'lat': 43.66885296909819, 'lng': -79.4835573741396, 'labeledLatLngs': [{'label': 'display', 'lat': 43.66885296909819, 'lng': -79.4835573741396}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
18,5744c0e0498e3180be20ede3,Que Ling Vietnamese Cuisine 桂林越南美食,"{'lat': 43.787426, 'lng': -79.2672, 'labeledLatLngs': [{'label': 'display', 'lat': 43.787426, 'lng': -79.2672}], 'cc': 'CA', 'country': 'Canada', 'formattedAddress': ['Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
19,5259ca7f11d2dcaea53853e8,Phở King Vietnamese Cuisine,"{'lat': 43.81998085302443, 'lng': -79.33080360398387, 'labeledLatLngs': [{'label': 'display', 'lat': 43.81998085302443, 'lng': -79.33080360398387}], 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Markham ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
20,4e8f96895c5c4562efa845b5,Pho Vietnamese Cuisine,"{'lat': 43.823489751999986, 'lng': -79.30519632707488, 'labeledLatLngs': [{'label': 'display', 'lat': 43.823489751999986, 'lng': -79.30519632707488}], 'cc': 'CA', 'state': 'Ontario', 'country': 'Canada', 'formattedAddress': ['Ontario', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
21,51f5507c498e64a8550fc7c2,Hua's Vietnamese Noodle 越華牛肉粉,"{'lat': 43.826351165771484, 'lng': -79.30514526367188, 'labeledLatLngs': [{'label': 'display', 'lat': 43.826351165771484, 'lng': -79.30514526367188}], 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Markham ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
22,4b61d168f964a520e3242ae3,PHO ALL Vietnamese Cuisine,"{'address': '3636 Steeles Ave E', 'crossStreet': 'Warden', 'lat': 43.819266, 'lng': -79.3311629273711, 'labeledLatLngs': [{'label': 'display', 'lat': 43.819266, 'lng': -79.3311629273711}], 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['3636 Steeles Ave E (Warden)', 'Markham ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
24,4c896d6e1eafb1f70a857135,Viet Huong (Vietnamese Noodle Restaurant),"{'address': '1300 Finch Ave West.', 'lat': 43.763863, 'lng': -79.489289, 'labeledLatLngs': [{'label': 'display', 'lat': 43.763863, 'lng': -79.489289}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1300 Finch Ave West.', 'Toronto ON', 'Canada']}",[],v-1603876373,False,
25,4cd480cd67adf04da3a62791,Lemon Grass Thai & Vietnamese Cuisine,"{'lat': 43.82213362444842, 'lng': -79.38520803445705, 'labeledLatLngs': [{'label': 'display', 'lat': 43.82213362444842, 'lng': -79.38520803445705}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d149941735', 'name': 'Thai Restaurant', 'pluralName': 'Thai Restaurants', 'shortName': 'Thai', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
26,5cc39ee1270ee70039cbff41,Tara Vietnamese Grill,"{'address': '87 Green Lane', 'lat': 43.822558, 'lng': -79.3937, 'labeledLatLngs': [{'label': 'display', 'lat': 43.822558, 'lng': -79.3937}], 'postalCode': 'L3T 6K6', 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['87 Green Lane', 'Markham ON L3T 6K6', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
27,4f133f22e4b09e81da8cf1b7,Rose's Vietnamese Sandwiches,"{'address': '601 Gerrard St E', 'crossStreet': 'Broadview Ave', 'lat': 43.665611822958766, 'lng': -79.35168477178863, 'labeledLatLngs': [{'label': 'display', 'lat': 43.665611822958766, 'lng': -79.35168477178863}], 'postalCode': 'M4M 1Y2', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['601 Gerrard St E (Broadview Ave)', 'Toronto ON M4M 1Y2', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
28,52c46724498ed32ba537dbcd,Lac Vien Vietnamese Restaurant- Scarborough,"{'address': '2270 Markham Road', 'crossStreet': 'at Finch Ave. E', 'lat': 43.81141550537656, 'lng': -79.24320596883133, 'labeledLatLngs': [{'label': 'display', 'lat': 43.81141550537656, 'lng': -79.24320596883133}], 'postalCode': 'M1B 2W4', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['2270 Markham Road (at Finch Ave. E)', 'Scarborough ON M1B 2W4', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,{'id': '137235654'}
29,562bd110498e41e8f1e152a1,Phu Quoc Island Vietnamese Restaurant,"{'address': '550 Highway 7 E., Unit 211', 'crossStreet': 'at Leslie St.', 'lat': 43.844593, 'lng': -79.383765, 'labeledLatLngs': [{'label': 'display', 'lat': 43.844593, 'lng': -79.383765}], 'postalCode': 'L4B 3Z4', 'cc': 'CA', 'city': 'Richmond Hill', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['550 Highway 7 E., Unit 211 (at Leslie St.)', 'Richmond Hill ON L4B 3Z4', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
